# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: hello.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000200   ---        --------
               6   N   00000200   00000113   00000204   x01_ra     00000000
               7   N   00000204   00000193   00000208   x02_sp     00000000
               8   N   00000208   00000213   0000020c   x03_gp     00000000
               9   N   0000020c   00000293   00000210   x04_tp     00000000
              10   N   00000210   00000313   00000214   x05_t0     00000000
              11   N   00000214   00000393   00000218   x06_t1     00000000
              12   N   00000218   00000413   0000021c   x07_t2     00000000
              13   N   0000021c   00000493   00000220   x08_s0     00000000
              14   N   00000220   00000513   00000224   x09_s1     00000000
              15   N   00000224   00000593   00000228   x10_a0     00000000
              16   N   00000228   00000613   0000022c   x11_a1     00000000
              17   N   0000022c   00000693   00000230   x12_a2     00000000
              18   N   00000230   00000713   00000234   x13_a3     00000000
              19   N   00000234   00000793   00000238   x14_a4     00000000
              20   N   00000238   00000813   0000023c   x15_a5     00000000
              21   N   0000023c   00000893   00000240   x16_a6     00000000
              22   N   00000240   00000913   00000244   x17_a7     00000000
              23   N   00000244   00000993   00000248   x18_s2     00000000
              24   N   00000248   00000a13   0000024c   x19_s3     00000000
              25   N   0000024c   00000a93   00000250   x20_s4     00000000
              26   N   00000250   00000b13   00000254   x21_s5     00000000
              27   N   00000254   00000b93   00000258   x22_s6     00000000
              28   N   00000258   00000c13   0000025c   x23_s7     00000000
              29   N   0000025c   00000c93   00000260   x24_s8     00000000
              30   N   00000260   00000d13   00000264   x25_s9     00000000
              31   N   00000264   00000d93   00000268   x26_s10    00000000
              32   N   00000268   00000e13   0000026c   x27_s11    00000000
              33   N   0000026c   00000e93   00000270   x28_t3     00000000
              34   N   00000270   00000f13   00000274   x29_t4     00000000
              35   N   00000274   00000f93   00000278   x30_t5     00000000
              36   N   00000278   00482197   0000027c   x31_t6     00000000
              37   N   0000027c   18418193   00000280   x03_gp     0048227c
              38   N   00000280   3e000513   00000284   x03_gp     00482400
              39   N   00000284   00480597   00000288   x10_a0     000003e0
              40   N   00000288   d7858593   0000028c   x11_a1     00480288
              41   N   0000028c   aa018613   00000290   x11_a1     00480000
              42   N   00000290   00b50b63   00000294   x12_a2     00481ea0
              43   N   00000294   0000a029   00000298   ---        --------
              44   N   00000298   00004114   000002a2   ---        --------
              48   N   000002a2   05118613   0000029a   ---        --------
              52   N   0000029a   0000c194   0000029c   x13_a3     06022603
              54   N   0000029c   00000511   0000029e   ---        --------
              55   N   0000029e   00000591   000002a0   x10_a0     000003e4
              56   N   000002a0   fec59ce3   000002a2   x11_a1     00480004
              57   N   000002a2   05918613   0000029a   ---        --------
              61   N   0000029a   0000c194   0000029c   x13_a3     02020293
              63   N   0000029c   00000511   0000029e   ---        --------
              64   N   0000029e   00000591   000002a0   x10_a0     000003e8
              65   N   000002a0   fec59ce3   000002a2   x11_a1     00480008
              66   N   000002a2   05918613   0000029a   ---        --------
              70   N   0000029a   0000c194   0000029c   x13_a3     00160593
              72   N   0000029c   00000511   0000029e   ---        --------
              73   N   0000029e   00000591   000002a0   x10_a0     000003ec
              74   N   000002a0   fec59ce3   000002a2   x11_a1     0048000c
              75   N   000002a2   05918613   0000029a   ---        --------
              79   N   0000029a   0000c194   0000029c   x13_a3     00c28333
              81   N   0000029c   00000511   0000029e   ---        --------
              82   N   0000029e   00000591   000002a0   x10_a0     000003f0
              83   N   000002a0   fec59ce3   000002a2   x11_a1     00480010
              84   N   000002a2   05918613   0000029a   ---        --------
              88   N   0000029a   0000c194   0000029c   x13_a3     06b22023
              90   N   0000029c   00000511   0000029e   ---        --------
              91   N   0000029e   00000591   000002a0   x10_a0     000003f4
              92   N   000002a0   fec59ce3   000002a2   x11_a1     00480014
              93   N   000002a2   05918613   0000029a   ---        --------
              97   N   0000029a   0000c194   0000029c   x13_a3     00a30023
              99   N   0000029c   00000511   0000029e   ---        --------
             100   N   0000029e   00000591   000002a0   x10_a0     000003f8
